name,usertype,userid,score,kills,deaths,assists,mvps,time
VN_XannerNotSus,0,200798,101,95,58,14,37,3869
teknoege,1,76561199154080412,92,92,66,13,76,3504
Amicitius,0,206960,49,49,25,10,26,1408
Milica Pavlovic,1,76561199069047604,58,58,41,16,32,2114
Mentos,1,76561198130247489,31,31,6,7,12,568
Iulian,0,184617,60,60,33,5,24,1388
Shadow,1,76561198057607302,30,30,8,5,12,624
_Newbie_,0,200783,35,35,18,8,21,1111
Ema ban boss,1,76561199374914207,57,57,50,16,23,1896
lets,0,196211,26,26,6,2,11,377
Panoramiks,1,76561198190689254,30,30,24,11,7,1786
Jero737,1,76561199504160696,51,51,46,11,24,1965
LeProdigy,1,76561198083771374,18,18,4,2,8,382
*SrsDonk666,0,206828,93,93,109,26,62,4797
Player,1,76561199236849335,34,34,33,7,25,1429
NiRo,0,183607,8,8,1,1,2,134
Hajt,0,14545,13,13,5,0,9,366
tevinhu,0,30476,8,8,0,0,8,156
Player,1,76561199523445230,21,21,15,2,8,569
SUPER SOLDIER,1,76561198008610202,8,8,4,4,1,358
rhea,1,76561199187133078,11,11,3,0,11,670
ImperiuM |,0,35126,20,20,13,0,17,715
zadrot,1,76561199164155619,19,19,13,0,19,1027
bvcx,1,76561199051567676,6,6,0,0,6,88
Ð¿Ð»Ð°Ð½ÐºÑÐ¾Ð½,1,76561198894959015,11,11,7,1,5,472
ronaldinho,1,76561199172977290,7,7,3,1,3,185
TheDextrosolo,1,76561199190858689,36,30,39,13,12,2152
yourlocalnorway,1,76561199553601433,14,14,13,3,11,538
wierzganowskih,1,76561199259446073,8,8,5,1,3,253
Defrektif,1,76561199019899040,7,7,3,0,6,244
